Acronym,Meaning
PU, Guinea
Pub ,  Publication
PUG , (a/i) PET Users Group
PUN , (a/i) Pull
PUP , (a/i) Pull
PUR ,"  Puerto Rico (IOC and FIFA trigram, but not ISO 3166)"
pus ,  Pashto language (ISO 639
PUS ,  United States Miscellaneous Pacific Islands (ISO 3166 trigram; obsolete 1986)
pV ,  picovolt
PV ,  petavolt
PVC ,  Permanent Virtual Circuit 
PvE ,  Player versus Environment
PvP ,  Player versus Player
PVR ,  Personal Video Recorder
PvZ ,  Plants vs. Zombies
pW ,  picowatt
PW, Palau (postal symbol; ISO 3166 digram)
petawatt,
PWA ,  Pirates With Attitude
PWBA ,  Pension and Welfare Benefits Administration
PwC ,  PricewaterhouseCoopers (international accounting firm)
PWC ,  PieceWise Constant (describing a mathematical function)
PWL ,  PieceWise Linear (describing a mathematical function)
PWLC ,  PieceWise Linear and Concave/Convex (describing a mathematical function)
PWP ,"  Plot, What Plot? / Porn Without Plot (denotes plotless, um, ""feel"
PWR ,  Pressurized Water Reactor
PWV ,  Pretoria
PX ,  Post eXchange
PY ,  Paraguay (ISO 3166 digram) 
PYF ,  French Polynesia (ISO 3166 trigram)
PYG ,  Paraguayan guaraní (ISO 4217 currency code)
PYMWYMI ,  Put Your Money Where Your Mouth Is
PZ ,  Panama Canal Zone (ISO 3166 digram; obsolete 1980) 
Q1 ,  First Quarter
Q2 ,  Second Quarter
Q3 ,  Third Quarter
Q4 ,  Fourth Quarter
QA ,  Qatar (FIPS 10
Qantas ,  Queensland And Northern Territory Aerial Services
QAP ,"  Quadripartite Advisory Publication (""kwapp"")"
QAR ,  Qatari rial (ISO 4217 currency code)
QAT ,  Qatar (ISO 3166 trigram)
QB ,  Quarterback (football)
QC ,  Quality Control 
QCA ,  Qualifications and Curriculum Authority 
QCD ,  Quantum ChromoDynamics
QD ,"  quaque die (Latin, ""daily"")"
QDOS ,"  Quick and Dirty Operating System (""cue"
QDR ,  Quadrennial Defense Review
QDRO ,"  Qualified domestic relations order (""quad"
QED ,  quantum electrodynamics 
QEH ,  Queen Elizabeth's Hospital
QFE ,  Quoted For Emphasis 
QID ,"  quater in die (Latin, ""four times daily"")"
QIP ,"  Quadrilateral Interoperability Programme (ancestor of MIP; ""quip"")"
QK ,  Air Canada Jazz (IATA airline designator)
QLD ,"  Queensland, (Australia) (postal symbol)"
QM ,  Quality Management 
QNH ,  Regional mean sea level atmospheric pressure (aeronautical Q code)
QPR ,  Queens Park Rangers F.C. (English football team) 
QPS ,  Quark Publishing System
QR ,  Quake Rally 
QS ,"  quantum sufficit (Latin, ""as much as suffices"")"
QSCAT ,  Quick Scatterometer satellite
QSL ,  Québec Sign Language
QSO ,  Quasi
QSTAG ,"  Quadripartite Standardization Agreement (""cue"
QT ,  Quentin Tarantino 
qu ,  Quechua language (ISO 639
Quango ,  (British Commonwealth) QUasi Autonomous Non
Quasar ,  Quasi
QUB , Queen's University Belfast
que ,  Quechua language (ISO 639
QUIET ,  Q and U Imaging ExperimenT (Q and U are the Stokes parameters of the CMBR polarization)
qv ,"  quod vide (Latin ""which see"")"
QVC ,"  ""Quality, Value, Convenience"" (home shopping channel)"
QWG ,"  Quadripartite Working Group (""qwig"")"
QWGAOR ,"  Quadripartite Working Group on Army Operational Research (""qwig"
QZ ,  Awair (IATA airline designator)
R ,  Reinforcing 
R2I ,  Resistance to Interrogation
R3P ,"  Rearm, Refuel, and Resupply Point"
Ra ,  Radium
RA ,  Radio Australia
RA ,  Rain (METAR Code) 
RAA ,  Royal Automobile Association 
RAAF ,  Royal Australian Air Force
Rabobank ,  Raiffeisen
RAC ,"  Royal Automobile Club (in the United Kingdom, renamed RAC plc in 2002)"
RACK ,  Risk Aware Consensual Kink (SM phrase)
Racon ,  RAdar beaCON
RADA ,  Royal Academy of Dramatic Art
Radar ,  Radio Detection And Ranging
RADB ,  Real America Database 
RADb ,  Routing Assets Data Base
RadB ,  Rad51/Dmc1 homologous protein
RADC ,  Region Air Defence Commander
RAE ,  UK Royal Aircraft Establishment (
RAF ,  Red Army Faction 
RAG ,  Raising and Giving 
RAGBRAI ,  Register's Annual Great Bicycle Ride Across Iowa
RAM ,  Random Access Memory 
Ramark ,  RAdar MARKer
RAOC ,  Rear Area Operation Centre
RAP , (a/i) Radio Access Point 
RARDE ,  UK Royal Armament Research and Development Establishment (1962
RARE ,  Rapid Acquisition with Relaxation Enhancement (MRI technique)
RASC ,  Royal Army Service Corp 
RATELO ,  Radiotelephone Operator
Rb ,  Rubidium
RB ,  Running Back (football)
RBAR ,  Row By Agonizing Row 
RBCI ,  Radio Based Combat Identification
RBI ,  Runs Batted In
RBOC ," (a/i) Regional Bell Operating Company (""Baby Bell"")"
RC , see entry
RCA," Radio Corporation of America,Root Cause Analysis,Royal Canadian Artillery,Royal City Avenue (famous entertainment zone in Thailand)"
RCAF ,  Royal Canadian Air Force
RCAR ,"  Research Council for Automobile Repairs (""are"
RCC ,  Rescue Co
RCCO ,  Royal Canadian College of Organists
RCHA ,  Royal Canadian Horse Artillery (regiment)
RCMP ,  Royal Canadian Mounted Police
RCRA ,"  Resource Conservation and Recovery Act (""reck"
RCS, Radar Cross
RCT," Randomized Controlled Trial,Robotically Controlled Telescope,Rugby club toulonnais (French, ""Rugby Club of Toulon"")"
RCZ ,  Rear Combat Zone
RD , Radio Disney
RDA," Research, Development, and Acquisition,Recommended Daily Allowance (Nutrition)"
RDD ,  Radiological Dispersion Device
RDDL ," (a/i) Resource Directory Description Language (""riddle"")"
RDECOM ,"  (U.S. Army) Research, Development and Engineering Command"
RDM ,  Remotely Delivered/Deliverable Mine
RDO," Rapid, Decisive Operation,Regular Day Off,Remote Data Objects"
RDS," Remote Desktop Services (Microsoft service),Réseau des sports (French, ""Sports Network"" — Canadian French"
RDT ,  Remote Digital Terminal
RDV ,  Remote Detection Vehicle
Re ,  Rhenium
RE ,  Royal Engineers
REACH ,"  Registration, Evaluation, Authorisation and Restriction of Chemical Substances"
REACT ,  Remote Electronically Activated Control Technology
REAM ,  Retired Educators Association of Minnesota
RECCE ,  Reconnaissance
REEF ,  Reef Environmental Education Foundation
REM , (i/a) Rapid Eye Movement (sleep phase) 
REME ,  Royal Electrical and Mechanical Engineers
RERC ,  Rehabilitation Engineering Research Center
RES ,  Radiation Exposure Status 
RESNA ,  Rehabilitation Engineering and Assistive Technology Society of North America
REU ,  Réunion (ISO 3166 trigram)
Rf ,  Rutherfordium
RF ,  Radio Frequency 
RFA ,  Restrictive Fire Area (military) 
RFC ,  Request for Comments 
RFD ,  Request for Documentation
RFE ,  Request for Evaluation
RFEF ,  Real Federación Española de Fútbol (Spanish for Royal Spanish Football Federation)
RFF ,  Right of First Refusal (legal term)
RFI ,  y For Inspection 
RFID ,  Radio Frequency IDentification
RFL ,  Rugby Football League
RFL ,  Restrictive Fire Line (military)
RFP ,  Request for Proposal
RFQ ,  Request for Quotation
RFT ,  Request for Tender
RFU ,  Rugby Football Union
Rg ,  Roentgenium
RG ,  Republican Guard
RGB ,  Red Green Blue (colour model)
RGBI ,  Red Green Blue Intensity (ditto)
Rh ,  Rhodium
RH ,  Southern Rhodesia (ISO 3166 digram; obsolete 1980)
RHIC ,  Relativistic Heavy Ion Collider
RHLI ,  Royal Hamilton Light Infantry (Canadian militia regiment)
RHO ,  Southern Rhodesia (ISO 3166 trigram; obsolete 1980)
RHS ,  Right Hand Side 
RHU ,  Replacement Holding Unit
RHWR ,"  Radar Homing and Warning Receiver (""raw"" for short)"
RI ,"  Rex et Imperator, Regina et Imperatrix King"
RI ,  Rhode Island (postal symbol)
RIAA ,  Recording Industry Association of America
RIBA ,  Royal Institute of British Architects
RIF," Reduction In Force (layoffs),Resistance Index for Frostbite,ing Is Fundamental"
RIFA ,  Red imported fire ant
RILA ,  Retail Industry Leaders Association
RIM," Remote integrated multiplexer, Australian term for a digital loop carrier,Research In Motion, former name of the BlackBerry company,Revolutionary Internationalist Movement (Maoist organization),Royal Indian Marine, former navy of British colonial India"
RIMVS ,  Retinal Imaging Machine Vision System
RINO ,  Republican In Name Only[1]
RIP,"(a/i) Relief In Place, requiesca[n]t in pace (Latin for ""may he/she/they rest in peace"")"
RIS," Range Instrumentation System,Réseau Info Sports (French, roughly ""Sports News Network"" — Canadian French"
RISC ,  Reduced Instruction Set Computer
RISD ,"  Rhode Island School of Design (""riz"
RISTA ,"  Reconnaissance, Intelligence, Surveillance, and Target Acquisition (see also ISTAR)"
RWH ,  Rain Water Harvesting
RJD ,  Reduced Julian Day
RKBA , Right to Keep and Bear Arms (Second Amendment to the United States Constitution)
RKI ,"  Robert Koch Institute, German governmental research institute in Berlin"
RKO ,  Radio
RL ,  Release Line 
RLP ,  Recognised [Operating/Operational] Land Picture
RLS ,  Restless Leg Syndrome
RLY ,  Rally Point
RM , see separate disambiguation page
rm ,  Raeto
RMA ,  Return Mailing Authorization 
RMC ,  Robert Menzies College
RMC ," (ii) Royal Military College (Australia, Canada, UK)"
RMDA ,  Records Management and Declassification Agency
RMP ,  Recognised [Operating/Operational] Maritime Picture
RMS ,  Rate
rn ,  Rundi language (Kirundi) (ISO 639
Rn ,  Radon
RN ,  Radio Netherlands
RN ,  Royal Navy 
RNA ,  RiboNucleic Acid
RNAD , Royal Naval Armaments Depot (UK)
RNPS ,  Radio Network Planning System
RNZ ,  Radio New Zealand
RNZI ,  Radio New Zealand International
ro ,  Romanian language (ISO 639
RO ,  Range Only 
ROA , (a/i) Rate Of Ascent
ROC , (i/a) Receiver Operating Characteristic (statistics) 
ROD , (a/i) Rate Of Descent 
ROE ,  Rules Of Engagement
roh ,  Raeto
ROH ,  Ring of Honor
ROI ,"  Return On Investment, Republic of Ireland."
ROFLOL ,  Rolling On the Floor Laughing Out Loud
ROK , (a/i) Republic of Korea
ROL ,  Romanian leu (ISO 4217 currency code)
ROM ,  
ron ,  Romanian language (ISO 639
RON ,  Romanian new leu (ISO 4217 currency code)
ROP ,  Render Output Pipeline
ROPE , Research Opportunity and Performance Evidence
ROS ,  Reactive Oxygen Species
ROTC ,"  Reserve Officer Training Corps (""Rawt"
ROU ,  Romania (ISO 3166 trigram)
ROV ,  Remotely Operated Vehicle
ROW ,  Right Of Way 
ROWPU ,"  Reverse Osmosis Water Purification Unit (""roe"
ROZ , (a/i) Restricted Operations Zone
RP, Philippines (FIPS 10
RPA ,  Regional Plan Association
RPD ,  Recognition
RPF ,  Rwandan Patriotic Front
RPG, (US
RPL ,  Reverse Polish Lisp
rpm ,  revolutions per minute
RPM," Records, Promotion, Music (expansion of the title of a former Canadian music magazine),Red Hat Package Manager"
RPN ,  reverse Polish notation
RPO," Radiation Protection Officer, Regular Production Option,RPR"
rps ,  revolutions per second
RPV ,  Remotely Piloted Vehicle
RQ ,  Puerto Rico (FIPS 10
RRB ,  Railroad Retirement Board
RRN ,  Recurrence Rate Number
RRP ,  Recurrent Respiratory Papillomatosis
RRS ,  Racing Rules of Sailing
RRSP ,  Registered Retirement Savings Plan (Canada; roughly equivalent to the IRA in the U.S.)
RS ,  Russia (FIPS 10
RSA," Regimental Support Area,Republic of South Africa,Rivest"
RSD," Reflex Sympathetic Dystrophy, Serbian dinar (ISO 4217 currency code)"
RSEQ ,"  Réseau du sport étudiant du Québec (French, ""Quebec Student Sports Network"")"
RSI ,  Repetitive Strain Injury
RSJ ,  Rolled Steel Joist (construction)
RSN ,  Real Soon Now (coined by author Jerry Pournelle)
RSPB ,  (UK) Royal Society for the Protection of Birds
RSPCA ,  Royal Society for the Prevention of Cruelty to Animals
RSR ,  Required Supply Rate
RSRE ,  UK Royal Signals and Radar Establishment (1976
RSRI ,  Red Sands Research Institute
RSS ,  Really Simple Syndication
RSTA ,"  Reconnaissance, Surveillance, and Target Acquisition"
RSVP ,"  répondez s'il vous plaît (French for ""respond if you please"")"
RT ,  Real Time 
RTA ,  Road traffic accident (British)
RTBF ,  Radio
RTCA ,"  RTCA, Inc."
RTF ,  Rich Text Format
RTFM ,   the Fucking/Fine Manual
RTG ,  Radio
RTGS ,  Royal Thai General System of Transcription 
RTI ,  Run
RTL , see entry
RTLS ,  Return to Launch Site 
RTP ,  Real
RTS , see entry
RTT ,  Round Trip Timing
RTV ,  Rapid Terrain Visualization ACTD 
ru ,  Russian language (ISO 639
Ru ,  Ruthenium
RU ,  Russia (ISO 3166 digram)
RUB ,  Russian ruble (ISO 4217 currency code)
RUC ,  Royal Ulster Constabulary
run ,  Rundi language (Kirundi) (ISO 639
rus ,  Russian language (ISO 639
RUS ,  Russia (ISO 3166 trigram)
RUSI ,  Royal United Services Institute for Defence Studies
RV," Reconnaissance Vehicle,Recreational Vehicle,Re"
RVD," Rijksvoorlichtingsdienst (Dutch, ""Government Information Service""), Rob Van Dam (American professional wrestler),RW[edit]"
rw ,  Rwanda language (Kinyarwanda) (ISO 639
RW ,  Rwanda (ISO 3166 and FIPS 10
RWA ,  Rwanda (ISO 3166 trigram)
RWADA ,"  Resident Weighted Average Daily Attendance (New York State term used in public education to indicate the size of a school district, i.e. its number of students)"
RWF ,  Rwandan franc (ISO 4217 currency code)
RWR ,  Radar Warning Receiver
RWS ,  Remote Weapon Station
Rx ,"  Medical prescription (possibly from Latin ""recipere"", ""to take"": see entry)"
RX ,  Receive
South,"Sulphur/Sulfur,S0"
SA," Sand (METAR Code),Saudi Arabia (ISO 3166 and FIPS 10"
SAA," Saudi Arabian Airlines, former name of Saudia,Sex Addicts Anonymous,South African Airways,Southern Athletic Association,Standards Association of Australia, a former name of Standards Australia,SAAB —  Svenska Aeroplan AB (Swedish aircraft manufacturer; also refers to its former auto manufacturing arm),SAAFR — (a/i) Standard use Army Aircraft Flight Route (“safer”),SAAMI —  Sporting Arms and Ammunition Manufacturers' Institute (“sammy”),SAARC —  South Asian Association for Regional Cooperation,SAB —  Soprano Alto Baritone,Sabena —  Société anonyme belge d'exploitation de la navigation aérienne (French for “Belgian Company for Exploiting Aerial Navigation”, 1923"
SAC," Standards Activity Committee (of SISO),U.S. Strategic Air Command (1946"
SAD," Safford Regional Airport (IATA code), Seasonal Affective Disorder,Situational Awareness Display,SADD —  originally Students Against Drunk Driving, now Students Against Destructive Decisions (U.S. national school"
SADL," Situation Awareness Data Link (“saddle”),Structural Architecture Description Language"
SAE," Society of Automotive Engineers[1],Stamped addressed envelope,SAFER —  Steel And Foam Energy Reduction,SAFICT —  Software Agents as Facilitators of Interoperability in Collective Training,sag —  Sango language (ISO 639"
SALT,"(a/i) Save A Life Today (SALT) Alert; Emergency Contact System, Southern African Large Telescope,Strategic Arms Limitation s"
SAM, Sequential
Sambo ," (p/a) Samooborona bez oruzhiya (Russian: ""??????????? ??? ??????"", literally ""self"
san, Sanskrit language (ISO 639
SAR," Saudi riyal (ISO 4217 currency code), Search And Rescue,Special Administrative Region,Synthetic Aperture Radar"
SARA," Southeastern Association for Research in Astronomy,Scientific Atlanta Resident Application,Scottish Amateur Rowing Association,Southern African Railway Association,State Administration for Religious Affairs,SARP —  Search And Rescue Processor,SARR — (i/a) Search And Rescue Repeater,SARS —  Severe Acute Respiratory Syndrome"
SART," Search and Rescue Transponder,Situational Awareness Rating Technique,SARU —  South African Rugby Union"
SAS," Scandinavian Airlines System,Second Avenue Subway,Situational Awareness System,Special Air Service,Studies, Analysis and Simulation,Side Angle Side, Statistical Analysis System (original meaning; SAS Institute Inc. has evolved far beyond that scope),SASE —  Self"
SAT," formerly Scholastic Aptitude Test and Scholastic Assessment Test; now known solely by the initials,Small Arms Trainer,SATB —  Soprano Alto Tenor Bass,SATNAV —  Satellite Navigation (Increasingly common GPS based system in new vehicles),SATs —  Standard Assessment Tasks and other similar terms describing tests used in English schools; see National Curriculum assessment#Terminology,SAU —  Saudi Arabia (ISO 3166 trigram),SAVAK —  Sazamane Etelaat va Amniate Kechvar (Iranian “Security and Intelligence Service”)"
SAW," Squad Automatic Weapon,Surface acoustic wave,SAWE —  Society of Allied Weight Engineers,SB[edit],Sb —  Antimony (Latin Stibium)"
SB," Sexy Bitch,Sexy Bastard,Sexy Boy (disambiguation), Solomon Islands (ISO 3166 digram), Special Warfare Boat Operator"
SBA," Santa Barbara Airport,Simulation"
SBC," Sensotronic Brake Control,Single"
SBD," Solomon Islands dollar (ISO 4217 currency code),Silent But Deadly"
SBNO ,  Standing but not operating (in reference to amusement parks)
SBP," Samahang Basketbol ng Pilipinas (Filipino, ""Basketball Federation of the Philippines""),U.S. School Breakfast Program,Society of Business Practitioners,State Bank of Pakistan"
SBS," Special Boat Service,Special Broadcasting Service,Seoul Broadcasting System"
SBW, Sonny Bill Williams (New Zealand dual
SC, Cruiser Submarine (US Navy hull classification) c Saint Kitts and Nevis (FIPS 10
SCA," Service Contract Act,Sexual Compulsives Anonymous,Society for Creative Anachronism,SCAP —  Supreme Commander Allied Powers (Allied occupation of Japan),sccm —  Standard cubic centimetre per minute (unit of measurement of fluid flow),sccs —  Standard cubic centimetre per second (unit of measurement of fluid flow),scfh —  Standard cubic foot per hour (unit of measurement of fluid flow),scfm —  Standard cubic foot per minute (unit of measurement of fluid flow),scfs —  Standard cubic foot per second (unit of measurement of fluid flow),SCG —  Serbia and Montenegro (ISO 3166 trigram; defunct since 2006),SCHIMS —  Soldier Combat Helmet Identification Marking System,SCHIP —  State Children's Health Insurance Program (U.S.; often pronounced ""ess"
SCO," Santa Cruz Operation (initials later used by SCO Group), Scotland (FIFA trigram; not eligible for an ISO 3166 or IOC trigram), Shanghai Cooperation Organization,SCOTUS —  Supreme Court of the United States,SCR —  Seychelles rupee (ISO 4217 currency code),SCRAM —  Safety Control Rod Axe Man"
SCS," Scan Correlated Shift,Soil Conservation Service"
SCSI," Small Computer System Interface (“scuzzy”), Strategic and Combat Studies Institute,SCT —  Scattered Sky (METAR Code),SCTP —  Stream Control Transmission Protocol,Scuba —  Self Contained Underwater Breathing Apparatus,SCUF — Slow Continuous Ultrafiltration,SCUFN —  Sub"
SD," Secure Digital (memory card format),Sheriff's department,Smoke/Decontamination, South Dakota (postal symbol),Sudan (ISO 3166 digram)"
SDC," Shaft Driven Compressor,U.S. Army Strategic Defense Command (1985"
SDHC ,  Secure Digital High Capacity
SDXC ,  Secure Digital eXtended Capacity
SE, Seychelles (FIPS 10
SEC," U.S. Securities and Exchange Commission, Security,Southeastern Conference,SECAM —  Séquentiel couleur à mémoire (French for “Colour Sequential with Memory”; TV standard, cf. NTSC, PAL),SECDEF —  (U.S.) Secretary of Defense,SED —  CERDEC Software Engineering Directorate,SEDRIS —  Synthetic Environment Data Representation and Interchange Specification,SEE —  Small Emplacement Excavator,SEG —  Society of Exploration Geophysicists,SEG —  Special Escort Group,SEK —  Swedish krona (ISO 4217 currency code),Selkent —  South East London & Kent Bus Company,SELT —  Single Ended Line Test (ing)"
SEM,"(i/a) Sensor Employment Manager,Switch to Email Mode, i.e. stop texting as it is more disruptive by making a sound or vibrating and email instead, for a given time"
SEN," Senegal (ISO 3166 trigram), Small Extension Node"
SEP," Somebody Else’s Problem,Spherical Error Probable,System Enhancement Package,System Engineering Plan,SEPTA —  Southeastern Pennsylvania Rapid"
SEU," Single Event Upset (solid state physics),Slightly Enriched Uranium,Special Evidence Unit,SF[edit]"
SF," Fleet Submarine (retired US Navy hull classification), San Francisco,Science fiction, South Africa (FIPS 10"
SFA," Sales force automation,Saturated fatty acid,Scottish Football Association,Stephen F. Austin (State University),Sudan Football Association"
SFE," Supercritical fluid extraction,Sydney Futures Exchange,SFF —  Standard File Format,sf&f —  Science fiction & fantasy,SFM — Switch to Facebook Mode, i.e. to message someone on Facebook instead of texting as it is less disruptive in the sense of the phone not making sound or vibrating, for a period of time,SFOB —  Special Forces Operations Base,SFOR —  UN Stabilisation Force (in Bosnia and Herzegovina),SFU —  Simon Fraser University (Canada),SG[edit],sg —  Sango language (ISO 639"
SG, Senegal (FIPS 10
SGC," Server Gated Cryptography, Stargate Command,SGD —  Singapore dollar (ISO 4217 currency code),SGML —  Standard Generalized Markup Language,SGP —  Singapore (ISO 3166 trigram)"
SGS," South Georgia and the South Sandwich Islands (ISO 3166 trigram), Svalbard Ground Station (Landsat),Société Générale de Surveillance,SH[edit],sh —  Serbo"
SH," Saint Helena (ISO 3166 digram), SONATRACH (Algerian petroleum company)"
SHAC," Stop Huntingdon Animal Cruelty,Student Health Action Coalition,SHAPE —  Supreme Headquarters Allied Powers Europe,SHF —  Super High Frequency,SHN —  Saint Helena (ISO 3166 trigram)"
SHO ,  Showtime (see also sho.com)
SI, Slovenia (ISO 3166 and FIPS 10
SIG," Schweizerische Industrie Gesellschaft (German, ""Swiss Industry Company""). See also SIG Sauer, a firearms manufacturer spun off from the aforementioned company in 2000., .signature (UNIX shell/Internet standard file name),(a/i) Special Interest Group,SIGCAT —  Special Interest Group for CD"
SIIT," Saskatchewan Indian Institute of Technologies (Canadian university),Sirindhorn International Institute of Technology (Thai university),Stateless IP/ICMP Translation algorithm,SIMAC —  Semantic Interaction with Music Audio Contents,SIMLAS —  Soldier Integrated Multipurpose Laser System,SIMM —  Single In"
SIMPLE, Satellite Interactive Multimedia Platform for Low
SIP," Session Initiation Protocol,State Implementation Plan,System Improvement Program,Systematic Investment Plan,SIPP —  Self"
Siri ,  Speech Interpretation and Recognition Interface (Apple iOS software)
SIRI ,  Service Interface for Real Time Information
SISO," Simulation Interoperability Standards Organization,Society of Independent Show Organizers,SIW —  Simulation Interoperability Workshop,SIYSS —  Stockholm International Youth Science Seminar,SJ[edit]"
SJ," Svalbard and Jan Mayen (ISO 3166 digram), Societas Iesu (Latin: The Society of Jesus, the Jesuit order), Statens Järnvägar (Swedish State Railways),SJA —  Staff Judge Advocate (military law),SJC —  Supreme Judicial Court of Massachusetts (note: the highest court in the state of Maine is also called the Supreme Judicial Court),SJM —  Svalbard and Jan Mayen (ISO 3166 trigram),SK[edit],sk —  Slovak language (ISO 639"
SK," Saskatchewan (postal symbol),Slovakia (ISO 3166 digram),SKC —  Clear Sky (METAR Code),SKK —  Slovak koruna (ISO 4217 currency code),SKM —  Sikkim (ISO 3166 trigram; obsolete 1975),SL[edit],sl —  Slovene language (ISO 639"
SL, Sierra Leone (ISO 3166 and FIPS 10
SLA," Service Level Agreement,Symbionese Liberation Army,SLAA —  Sex and Love Addicts Anonymous,SLAC —  Stanford Linear Accelerator Center,SLAN —  sine loco, anno, nomine (Latin, “without place, year, or name”),SLAPP —  Strategic lawsuit against public participation,SLB —  Solomon Islands (ISO 3166 trigram),SLBM —  Sea/Submarine"
SLOC," Sea Lines Of Communication,Source Lines Of Code,SLORC —  State Law and Order Restoration Council (of Burma)"
SLP," Sea Level Pressure, Super Long Play,slph —  Standard litre per hour (air flow),slpm —  Standard litre per minute (air flow),slps —  Standard litre per second (air flow),SLR —  Single"
SLT," Single Lens Translucent, Speech and language therapist, Solid Logic Technology (electronics),Swing Landing Trainer (paratroops),Secondary lymphoid tissue,slv —  Slovenian language (ISO 639"
SM, Sado
SME," Scan Mirror Electronics,Subject Matter Expert"
SMG," Sequential Motorsport Gearbox,SubMachine Gun,SMH —  Shaking My Head,SMil —  Sadomasochisterne i landet (Danish SM organisation),SMIL —  Synchronized Multimedia Integration Language,smo —  Samoan language (ISO 639"
SMX,"many, including:  Server Macro Expansion, Solaris MINIX, Spatial multiplexing, Sulfamethoxazole; see entry"
SMZ,"many, including:  Silver Mt. Zion, Sulfamethazine, Sulfamethoxazole; see entry,SN[edit],sn —  Shona language (ISO 639"
SN," Senegal (ISO 3166 digram),Singapore (FIPS 10"
SNL," Saturday Night Live (television), Società Navigazione del Lago di Lugano,SNM —  Special Nuclear Material,SNMP —  Simple Network Management Protocol,SNOBOL —  StriNg Oriented symBOlic Language,SNP —  Single"
SNR," SuperNova Remnant,Signal"
SO," Shared Object (Unix),Sheriff's Office,Significant other, Somalia (ISO 3166 and FIPS 10"
SOA, service
SOAP," Simple Object Access Protocol,Supplemental Offer and Acceptance Program (U.S. medical residency matching)"
SOB," Son Of a Bitch,Same Old Bullshit,SOC —  Sector Operations Centre,SOCCSKSARGEN —  South Cotabato, Cotabato, Sultan Kudarat, Sarangani, General Santos City (a region in the Philippines; pronounced “sock"
SoCon ,  Southern Conference (U.S. college sports)
SOD,"(i/a) School Of Dentistry,Statement Of Difference[s],Statement Of Direction,Statement Of Documentation,Statement Of Duty/Duties"
SOE," Secret Of Evermore,Special Operations Executive (WWII British organization),State Of Emissions (EW)"
SOF,"(a/i) Special Operations Force,Status of Forces,SOFIA —  Stratospheric Observatory For Infrared Astronomy"
SOGAT," Society of Graphical and Allied Trades,Former British printing union,SOHC —  Single"
SOM," Simulation Object Model, Somalia (ISO 3166 trigram),Sonar —  SOund Navigation And Ranging"
SOP," Standing/Standard Operating Procedure,State of Play"
SOR," State Of iness,Statement Of Requirements"
SOS," Somali shilling (ISO 4217 currency code),Save Our Souls,SOSTAR —  Stand"
Sp," Special,Spring tide (nautical charts), sine prole (Latin, “without offspring”)"
SP," Security Police,Self"
SPD," Shimano Pedaling Dynamics,Sozialdemokratische Partei Deutschlands (Social Democratic Party of Germany),SPDT —  Single"
SPL," Scottish Premier League,Superior Parietal Lobule,Sound Pressure Level,SPM —  Saint Pierre and Miquelon (ISO 3166 trigram),SPOD — (a/i) Sea Port of Debarkation,SPOE — (a/i) Sea Port of Embarkation,SPOT —  Satellite pour l'observation de la Terre (French, “Satellite for Earth Observation”),SPQR —  Senatus Populusque Romanus (Latin “The Senate and the People of Rome”),sps —  sine prole superstite (Latin, “without surviving issue”),SPS —  Standard Positioning Service (GPS),SPST —  Single"
SR," Sound Reinforcement,Supply Route, Suriname (ISO 3166 digram), Sveriges Radio (Swedish Radio Ltd),SR —  Sustained release of a drug"
SRAM," Scott (King), Ray (Day), SAM (Patterson) — founders of bicycle component manufacturer SRAM Corporation, Static Random Access Memory (“ess"
SRD," Science Requirements Document, Surinam dollar (ISO 4217 currency code),SREL —  Savannah River Ecology Laboratory"
SRG," SACEUR Rover Group,Special Republican Guard,SRGW —  Short"
SRL," Savannah River Laboratory,Single Rocket Launcher,Survival Research Labs,SRM —  Specified Risk Material,srp —  Serbian language (ISO 639"
SS," Sand Storm (METAR Code), Schutzstaffel (German, roughly ""Protection Squadron""; Nazi elite Praetorian guard), U.S. Secret Service,Spanish Ship,Stainless steel,Stockholm Skins, Submarine (US Navy hull classification), Super Sport,Surface"
SSA," Cargo Submarine (US Navy hull classification), Social Security Administration (U.S.),Statistics South Africa,SSB —  Single"
SSC," Safe, Sane, Consensual (SM phrase),Secondary Somatosensory Cortex,Smaller"
SSD, Solid
SSDD," Same Shit, Different Day,Single"
SSE, South South
SSN, Nuclear
SSR," Radar Picket Submarine (retired US Navy hull classification), Solid State Recorder"
SSRI," Selective Serotonin Reuptake Inhibitor,Social Systems Research Institute"
SSRN," Social Science Research Network, Nuclear"
SSS," Siding Spring Survey,Side Side Side (an acronym for remembering congruent triangles), Sigue Sigue Sputnik (band),S/SSM —  Surface"
SST," SuperSonic Transport, Training Submarine (US Navy hull classification),Saturated Suction Temperature (refrigeration cycles),SSTO —  Single"
ST, Saint Lucia (FIPS 10
STA," Scheduled Time of Arrival,Surveillance and Target Acquisition,STAG —  (U.S.) Strategy and Tactics Group,STAGE —  Scenario Toolkit And Generation Environment,STANAG —  (NATO) Standardisation Agreement"
STAR," Scientific and Technical Aerospace Reports (NASA),Simulation of Tactical Alternative Responses,Special Threat Analysis and Recognition"
STAT," Signal Transducers and Activators of Transcription (cell biology),Special Tertiary Admissions Test (Australia)"
STB , Surface Transportation Board[2]
STD," São Tomé and Príncipe dobra (ISO 4217 currency code), Sexually Transmitted Disease,STDM —  Statistical Time Division Multiplexing,STENTOR —  Satellite de télécommunications pour expérimenter de nouvelles technologies en orbite (French, “Orbital New Technology Experimental Telecommunications Satellite”)"
